"company","date","open","close","high","low","volume","industry","total_esg_risk_score","environment_risk_score","governance_risk_score","social_risk_score","esg_risk_level","esg_risk_score_2024","predicted_future_esg_score","controversy_level"
"Asian Paints Ltd.","2025-07-16","2381","2410.5","2422.39990234375","2371","1200909","Consumer Durables","25.4","11.3","6.2","8","Medium","25.4","26.52641667","Low Controversy Level"
"Asian Paints Ltd.","2025-07-17","2404.10009765625","2398.89990234375","2414","2394","526163","Consumer Durables","25.4","11.3","6.2","8","Medium","25.4","26.52641667","Low Controversy Level"
"Asian Paints Ltd.","2025-07-18","2400.60009765625","2382.39990234375","2405","2372.300048828125","599552","Consumer Durables","25.4","11.3","6.2","8","Medium","25.4","26.52641667","Low Controversy Level"
"Asian Paints Ltd.","2025-07-21","2382.39990234375","2375.39990234375","2408","2360.800048828125","390931","Consumer Durables","25.4","11.3","6.2","8","Medium","25.4","26.52641667","Low Controversy Level"
"Asian Paints Ltd.","2025-07-22","2375.39990234375","2365.199951171875","2380.800048828125","2361.300048828125","411317","Consumer Durables","25.4","11.3","6.2","8","Medium","25.4","26.52641667","Low Controversy Level"
"Asian Paints Ltd.","2025-07-23","2363","2375.39990234375","2384.699951171875","2352.60009765625","368999","Consumer Durables","25.4","11.3","6.2","8","Medium","25.4","26.52641667","Low Controversy Level"
"Asian Paints Ltd.","2025-07-24","2375.39990234375","2352.10009765625","2380","2341","506960","Consumer Durables","25.4","11.3","6.2","8","Medium","25.4","26.52641667","Low Controversy Level"
"Asian Paints Ltd.","2025-07-25","2340","2336.199951171875","2350.5","2325.800048828125","383636","Consumer Durables","25.4","11.3","6.2","8","Medium","25.4","26.52641667","Low Controversy Level"
"Asian Paints Ltd.","2025-07-28","2336.199951171875","2359.60009765625","2366.39990234375","2320","650364","Consumer Durables","25.4","11.3","6.2","8","Medium","25.4","26.52641667","Low Controversy Level"
"Asian Paints Ltd.","2025-07-29","2359","2401.5","2418.300048828125","2325","1742815","Consumer Durables","25.4","11.3","6.2","8","Medium","25.4","26.52641667","Low Controversy Level"
"Asian Paints Ltd.","2025-07-30","2409","2415.800048828125","2443.800048828125","2366.5","1685818","Consumer Durables","25.4","11.3","6.2","8","Medium","25.4","26.52641667","Low Controversy Level"
"Asian Paints Ltd.","2025-07-31","2401.39990234375","2396.10009765625","2417.199951171875","2373.5","1274735","Consumer Durables","25.4","11.3","6.2","8","Medium","25.4","26.52641667","Low Controversy Level"
"Asian Paints Ltd.","2025-08-01","2378","2431","2472","2378","2225293","Consumer Durables","25.4","11.3","6.2","8","Medium","25.4","26.52641667","Low Controversy Level"
"Asian Paints Ltd.","2025-08-04","2443.199951171875","2449.800048828125","2467","2439.60009765625","1165898","Consumer Durables","25.4","11.3","6.2","8","Medium","25.4","26.52641667","Low Controversy Level"
"Asian Paints Ltd.","2025-08-05","2461.89990234375","2436.800048828125","2463.699951171875","2409.10009765625","659094","Consumer Durables","25.4","11.3","6.2","8","Medium","25.4","26.52641667","Low Controversy Level"
"Asian Paints Ltd.","2025-08-06","2440","2491.199951171875","2505.60009765625","2440","2019109","Consumer Durables","25.4","11.3","6.2","8","Medium","25.4","26.52641667","Low Controversy Level"
"Asian Paints Ltd.","2025-08-07","2484.10009765625","2506.5","2510","2466.89990234375","1502721","Consumer Durables","25.4","11.3","6.2","8","Medium","25.4","26.52641667","Low Controversy Level"
"Axis Bank Ltd.","2025-07-07","1177.5999755859375","1175.0999755859375","1177.5999755859375","1167.5999755859375","5783402","Financial Services","24.2","2.3","11.6","10.3","Medium","24.2","28.3514119","Significant Controversy Level"
"Axis Bank Ltd.","2025-07-08","1180","1165.4000244140625","1180","1161.9000244140625","9973619","Financial Services","24.2","2.3","11.6","10.3","Medium","24.2","28.3514119","Significant Controversy Level"
"Axis Bank Ltd.","2025-07-09","1160","1164.699951171875","1171","1158.5999755859375","8674795","Financial Services","24.2","2.3","11.6","10.3","Medium","24.2","28.3514119","Significant Controversy Level"
"Axis Bank Ltd.","2025-07-10","1170.0999755859375","1164.300048828125","1176.5999755859375","1163","4339755","Financial Services","24.2","2.3","11.6","10.3","Medium","24.2","28.3514119","Significant Controversy Level"
"Axis Bank Ltd.","2025-07-11","1162","1173.800048828125","1175.9000244140625","1160.5999755859375","4468654","Financial Services","24.2","2.3","11.6","10.3","Medium","24.2","28.3514119","Significant Controversy Level"
"Axis Bank Ltd.","2025-07-14","1179","1172.699951171875","1179.9000244140625","1163","4772502","Financial Services","24.2","2.3","11.6","10.3","Medium","24.2","28.3514119","Significant Controversy Level"
"Axis Bank Ltd.","2025-07-15","1174","1165.9000244140625","1179","1162.300048828125","4776756","Financial Services","24.2","2.3","11.6","10.3","Medium","24.2","28.3514119","Significant Controversy Level"
"Axis Bank Ltd.","2025-07-16","1164.9000244140625","1168.4000244140625","1174","1157.0999755859375","4388279","Financial Services","24.2","2.3","11.6","10.3","Medium","24.2","28.3514119","Significant Controversy Level"
"Axis Bank Ltd.","2025-07-17","1170","1159.800048828125","1172.9000244140625","1154.800048828125","5694428","Financial Services","24.2","2.3","11.6","10.3","Medium","24.2","28.3514119","Significant Controversy Level"
"Axis Bank Ltd.","2025-07-18","1090","1099.300048828125","1115.9000244140625","1086","38053695","Financial Services","24.2","2.3","11.6","10.3","Medium","24.2","28.3514119","Significant Controversy Level"
"Axis Bank Ltd.","2025-07-21","1086","1099.5999755859375","1101.5","1071.9000244140625","15905500","Financial Services","24.2","2.3","11.6","10.3","Medium","24.2","28.3514119","Significant Controversy Level"
"Axis Bank Ltd.","2025-07-22","1102","1098","1110.5999755859375","1095","9999957","Financial Services","24.2","2.3","11.6","10.3","Medium","24.2","28.3514119","Significant Controversy Level"
"Axis Bank Ltd.","2025-07-23","1099.5","1104.800048828125","1110.5","1098.0999755859375","6633979","Financial Services","24.2","2.3","11.6","10.3","Medium","24.2","28.3514119","Significant Controversy Level"
"Axis Bank Ltd.","2025-07-24","1104","1095.0999755859375","1105","1089.4000244140625","9901209","Financial Services","24.2","2.3","11.6","10.3","Medium","24.2","28.3514119","Significant Controversy Level"
"Axis Bank Ltd.","2025-07-25","1086.0999755859375","1086.0999755859375","1101","1076.199951171875","11779887","Financial Services","24.2","2.3","11.6","10.3","Medium","24.2","28.3514119","Significant Controversy Level"
"Axis Bank Ltd.","2025-07-28","1080.9000244140625","1073.5999755859375","1092.199951171875","1067.4000244140625","9029557","Financial Services","24.2","2.3","11.6","10.3","Medium","24.2","28.3514119","Significant Controversy Level"
"Axis Bank Ltd.","2025-07-29","1070.9000244140625","1064.199951171875","1078.699951171875","1055.4000244140625","15599773","Financial Services","24.2","2.3","11.6","10.3","Medium","24.2","28.3514119","Significant Controversy Level"
"Axis Bank Ltd.","2025-07-30","1070.5","1073.300048828125","1080.5999755859375","1062","8247433","Financial Services","24.2","2.3","11.6","10.3","Medium","24.2","28.3514119","Significant Controversy Level"
"Axis Bank Ltd.","2025-07-31","1066","1068.4000244140625","1081.300048828125","1063.9000244140625","7634413","Financial Services","24.2","2.3","11.6","10.3","Medium","24.2","28.3514119","Significant Controversy Level"
"Axis Bank Ltd.","2025-08-01","1065","1062.4000244140625","1070.9000244140625","1060","5545447","Financial Services","24.2","2.3","11.6","10.3","Medium","24.2","28.3514119","Significant Controversy Level"
"Axis Bank Ltd.","2025-08-04","1064.4000244140625","1068.5999755859375","1070","1059","4465845","Financial Services","24.2","2.3","11.6","10.3","Medium","24.2","28.3514119","Significant Controversy Level"
"Axis Bank Ltd.","2025-08-05","1068","1070.800048828125","1079.9000244140625","1062.5","5318081","Financial Services","24.2","2.3","11.6","10.3","Medium","24.2","28.3514119","Significant Controversy Level"
"Axis Bank Ltd.","2025-08-06","1074","1071","1077.699951171875","1065.5999755859375","4216651","Financial Services","24.2","2.3","11.6","10.3","Medium","24.2","28.3514119","Significant Controversy Level"
"Axis Bank Ltd.","2025-08-07","1067.800048828125","1076.199951171875","1079.699951171875","1064.5","5321100","Financial Services","24.2","2.3","11.6","10.3","Medium","24.2","28.3514119","Significant Controversy Level"
"Bajaj Auto Ltd.","2025-07-07","8433","8463.5","8484","8404","123117","Automobile and Auto Components","17","4.2","6.7","6.1","Low","17","17.4","Low Controversy Level"
"Bajaj Auto Ltd.","2025-07-08","8463","8339.5","8474","8291","253579","Automobile and Auto Components","17","4.2","6.7","6.1","Low","17","17.4","Low Controversy Level"
"Bajaj Auto Ltd.","2025-07-09","8350","8361","8376","8310.5","157280","Automobile and Auto Components","17","4.2","6.7","6.1","Low","17","17.4","Low Controversy Level"
"Bajaj Auto Ltd.","2025-07-10","8394","8285","8394","8268","229552","Automobile and Auto Components","17","4.2","6.7","6.1","Low","17","17.4","Low Controversy Level"
"Bajaj Auto Ltd.","2025-07-11","8285.5","8067","8300","8045.5","539579","Automobile and Auto Components","17","4.2","6.7","6.1","Low","17","17.4","Low Controversy Level"
"Bajaj Auto Ltd.","2025-07-14","8090","8087.5","8120","8035.5","248351","Automobile and Auto Components","17","4.2","6.7","6.1","Low","17","17.4","Low Controversy Level"
"Bajaj Auto Ltd.","2025-07-15","8128","8311","8326","8090","366546","Automobile and Auto Components","17","4.2","6.7","6.1","Low","17","17.4","Low Controversy Level"
"Bajaj Auto Ltd.","2025-07-16","8311","8302.5","8345","8184.5","275493","Automobile and Auto Components","17","4.2","6.7","6.1","Low","17","17.4","Low Controversy Level"
"Bajaj Auto Ltd.","2025-07-17","8278.5","8330","8355","8262.5","249880","Automobile and Auto Components","17","4.2","6.7","6.1","Low","17","17.4","Low Controversy Level"
"Bajaj Auto Ltd.","2025-07-18","8305","8347.5","8365","8305","268313","Automobile and Auto Components","17","4.2","6.7","6.1","Low","17","17.4","Low Controversy Level"
"Bajaj Auto Ltd.","2025-07-21","8306","8438.5","8450","8306","253964","Automobile and Auto Components","17","4.2","6.7","6.1","Low","17","17.4","Low Controversy Level"
"Bajaj Auto Ltd.","2025-07-22","8470","8295","8470","8277","302466","Automobile and Auto Components","17","4.2","6.7","6.1","Low","17","17.4","Low Controversy Level"
"Bajaj Auto Ltd.","2025-07-23","8313.5","8397","8405","8290.5","194644","Automobile and Auto Components","17","4.2","6.7","6.1","Low","17","17.4","Low Controversy Level"
"Bajaj Auto Ltd.","2025-07-24","8409.5","8288.5","8435","8276","298692","Automobile and Auto Components","17","4.2","6.7","6.1","Low","17","17.4","Low Controversy Level"
"Bajaj Auto Ltd.","2025-07-25","8275","8075.5","8280","8044.5","554118","Automobile and Auto Components","17","4.2","6.7","6.1","Low","17","17.4","Low Controversy Level"
"Bajaj Auto Ltd.","2025-07-28","8075.5","8089.5","8158","8075","232171","Automobile and Auto Components","17","4.2","6.7","6.1","Low","17","17.4","Low Controversy Level"
"Bajaj Auto Ltd.","2025-07-29","8089.5","8127.5","8146","8056","209998","Automobile and Auto Components","17","4.2","6.7","6.1","Low","17","17.4","Low Controversy Level"
"Bajaj Auto Ltd.","2025-07-30","8090.5","8043.5","8132.5","8025","222804","Automobile and Auto Components","17","4.2","6.7","6.1","Low","17","17.4","Low Controversy Level"
"Bajaj Auto Ltd.","2025-07-31","7990","8008","8094","7930.5","297025","Automobile and Auto Components","17","4.2","6.7","6.1","Low","17","17.4","Low Controversy Level"
"Bajaj Auto Ltd.","2025-08-01","8008","8044.5","8091","7951.5","329818","Automobile and Auto Components","17","4.2","6.7","6.1","Low","17","17.4","Low Controversy Level"
"Bajaj Auto Ltd.","2025-08-04","8044.5","8187.5","8205","8044.5","221221","Automobile and Auto Components","17","4.2","6.7","6.1","Low","17","17.4","Low Controversy Level"
"Bajaj Auto Ltd.","2025-08-05","8176","8230.5","8236.5","8130","194083","Automobile and Auto Components","17","4.2","6.7","6.1","Low","17","17.4","Low Controversy Level"
